ID,지역코드,기간코드,인허가일자,지번주소
194,111123,17,20100113,서울특별시 종로구 내수동 75번지 용비어천가 지하B108호
195,111123,17,20091110,서울특별시 종로구 창신동 442-3번지 7층
196,111123,17,20130514,서울특별시 종로구 종로5가 51-1번지
197,111123,17,19990821,서울특별시 종로구 도렴동 117-3번지
198,111123,17,19810331,서울특별시 종로구 창신동 438-1번지
199,111123,17,19790730,서울특별시 종로구 서린동 149-0번지
200,111123,17,19780621,서울특별시 종로구 평창동 108-2번지 지하동
201,111123,17,19760130,서울특별시 종로구 숭인동 419-2번지
202,111123,17,19760119,서울특별시 종로구 낙원동 56-0번지
203,111123,17,19760112,서울특별시 종로구 익선동 34-0번지
204,111123,17,19850629,서울특별시 종로구 종로2가 71-2번지
205,111123,17,19850629,서울특별시 종로구 종로5가 104-9번지
206,111123,17,19840522,서울특별시 종로구 종로2가 8-4번지
207,111123,17,19840521,서울특별시 종로구 낙원동 225-0번지 지하1층
208,111123,17,19840327,서울특별시 종로구 종로5가 503-15번지 162728
209,111123,17,19991021,서울특별시 종로구 교북동 12-19번지
210,111123,17,19991006,서울특별시 종로구 관철동 18-13번지 (지상3층)
211,111123,17,19850607,서울특별시 종로구 숭인동 316-2번지
212,111123,17,19850123,서울특별시 종로구 종로5가 77-0번지
213,111123,17,20060327,서울특별시 종로구 창신동 438-14번지 외1필지 지하1층
214,111123,17,20060307,서울특별시 종로구 숭인동 201-13번지 지하1층
215,111123,17,20010531,서울특별시 종로구 효제동 233-1번지
216,111261,17,20110415,서울특별시 강남구 삼성동 143-31
217,111123,17,20010305,서울특별시 종로구 종로5가 321-18번지  동  호
218,111123,17,20011018,서울특별시 종로구 예지동 32-1번지
219,111123,17,20010927,서울특별시 종로구 청진동 296-1번지 지하1층
220,111123,17,20011119,서울특별시 종로구 창신동 197-36번지
221,111123,17,19990806,서울특별시 종로구 견지동 110-7번지
222,111123,17,19990727,서울특별시 종로구 당주동 3-2번지
223,111123,17,19990721,서울특별시 종로구 도렴동 116-1번지
224,111123,17,19990715,서울특별시 종로구 도렴동 113-1번지 지하1층
225,111123,17,19990710,서울특별시 종로구 당주동 42-2번지
226,111123,17,19990708,서울특별시 종로구 신문로1가 8-1번지
227,111123,17,19990707,서울특별시 종로구 교북동 93-1번지
228,111142,17,20091105,서울특별시 성동구 도선동 50 지하1층
229,111123,17,20081208,서울특별시 종로구 종로1가 24번지 르메이에르빌딩 지하1층 B106-2 B106-3
230,111123,17,19991222,서울특별시 종로구 관철동 43-5번지
231,111123,17,20111109,서울특별시 종로구 내수동 74번지 (광화문시대) B108호
232,111123,17,20110617,서울특별시 종로구 종로5가 51-1번지 지상2층
233,111123,17,20020424,서울특별시 종로구 연지동 170번지
234,111123,17,20020422,서울특별시 종로구 종로5가 182-6번지
235,111123,17,20020207,서울특별시 종로구 공평동 39-3번지
236,111123,17,20020125,서울특별시 종로구 청진동 164번지 지하1층
237,111123,17,20020109,서울특별시 종로구 서린동 127번지
238,111123,17,20011226,서울특별시 종로구 종로3가 160 161번지
239,111123,17,20030725,서울특별시 종로구 청진동 11-3번지
240,111123,17,20030709,서울특별시 종로구 종로6가 150-3번지 (지하1층)
241,111123,17,20070622,서울특별시 종로구 창신동 442-3번지 (지상7층)
242,111123,17,20100902,서울특별시 종로구 효제동 245-5번지 (지상1층)
243,111123,17,20110401,서울특별시 종로구 종로5가 182-6번지 (지상2층)
244,111123,17,20110228,서울특별시 종로구 연지동 200번지 (지하1층)
245,111123,17,20101220,서울특별시 종로구 수송동 58번지 두산위브파빌리온 지하1층 122호
246,111123,17,20100914,서울특별시 종로구 수송동 58번지 두산위브파빌리온 지하1층 (B112)
247,111123,17,20061128,서울특별시 종로구 종로6가 137-2번지 지하1층
248,111123,17,20060804,서울특별시 종로구 종로5가 54번지 지하1층
249,111123,17,20060803,서울특별시 종로구 청진동 11-3번지 2층
250,111123,17,20060517,서울특별시 종로구 낙원동 121-1번지 지하1층
251,111123,17,20060428,서울특별시 종로구 청진동 100번지 지상1층
252,111123,17,20100816,서울특별시 종로구 종로1가 24번지 르메이에르 B108-1 2 3호
253,111123,17,19710816,서울특별시 종로구 낙원동 284-6번지
254,111123,17,19710122,서울특별시 종로구 관수동 20번지
255,111123,17,19700131,서울특별시 종로구 효제동 253-1번지 지상2층
256,111123,17,19680621,서울특별시 종로구 예지동 6-1번지
257,111123,17,19671101,서울특별시 종로구 관훈동 192-17번지 지하1층
258,111123,17,20060124,서울특별시 종로구 낙원동 196번지 지하1층
259,111123,17,20051123,서울특별시 종로구 청진동 132번지 지상12층
260,111123,17,20050922,서울특별시 종로구 청진동 3-3번지 지상3층
261,111123,17,20000307,서울특별시 종로구 내수동 167-0번지 (지하1)
262,111123,17,20000229,서울특별시 종로구 연지동 246-0번지
263,111123,17,20000129,서울특별시 종로구 청진동 182-4번지 (지하1층)
264,111123,17,20000105,서울특별시 종로구 창신동 438-14번지
265,111123,17,19991215,서울특별시 종로구 창신동 303-0번지
266,111123,17,19991210,서울특별시 종로구 세종로 157-4번지
267,111123,17,19991209,서울특별시 종로구 당주동 20-1번지 4
268,111123,17,19991206,서울특별시 종로구 종로2가 84-8번지
269,111123,17,20000529,서울특별시 종로구 종로5가 231-22번지 지상1~2층
270,111123,17,20030905,서울특별시 종로구 관철동 43-14번지 지하1층
271,111123,17,20030827,서울특별시 종로구 효제동 318-1번지
272,111123,17,20030821,서울특별시 종로구 낙원동 173-1번지 지하1층
273,111123,17,19991230,서울특별시 종로구 창신동 464-4번지  (지상2층)
274,111123,17,19991230,서울특별시 종로구 청진동 11-6번지
275,111123,17,19991215,서울특별시 종로구 관철동 11-24번지
276,111123,17,19991210,서울특별시 종로구 종로5가 231-16번지 지상1층
277,111123,17,19991208,서울특별시 종로구 관철동 11-3번지 지하1층
278,111123,17,19991207,서울특별시 종로구 관훈동 198-30번지 지하1층
279,111123,17,19991129,서울특별시 종로구 청진동 80번지 지하1층
280,111123,17,19991120,서울특별시 종로구 종로5가 231-25번지
281,111123,17,19991115,서울특별시 종로구 원남동 118-0번지
282,111123,17,19991110,서울특별시 종로구 신문로1가 31-0번지 지하1층
283,111123,17,20110519,서울특별시 종로구 효제동 185번지 (지상1층)
284,111123,17,20110422,서울특별시 종로구 종로5가 54번지 (지하1층)
285,111123,17,19991106,서울특별시 종로구 재동 92-0번지
286,111123,17,19991105,서울특별시 종로구 당주동 23-6번지
287,111274,17,20121213,서울특별시 강동구 길동 415-7 2층
288,111123,17,20000704,서울특별시 종로구 종로5가 231-22번지 (지상1~2층)
289,111123,17,20000703,서울특별시 종로구 종로5가 231-22번지
290,111123,17,20000623,서울특별시 종로구 당주동 2-2번지 지하12층
291,111123,17,20030619,서울특별시 종로구 창신동 444-9번지 임진빌딩
292,111123,17,20030115,서울특별시 종로구 장사동 130-1번지
293,111123,17,20030107,서울특별시 종로구 낙원동 198번지
294,111123,17,20021220,서울특별시 종로구 낙원동 193번지
295,111123,17,20021214,서울특별시 종로구 숭인동 317-20번지 지하1층
296,111123,17,19991004,서울특별시 종로구 충신동 57-4번지
297,111123,17,20040420,서울특별시 종로구 종로3가 6번지 지상3층
298,111123,17,20030612,서울특별시 종로구 당주동 18번지
299,111123,17,20010410,서울특별시 종로구 와룡동 97-1번지 지하1층
300,111123,18,20180110,서울특별시 종로구 낙원동 121-1번지
301,111123,17,20171227,서울특별시 종로구 종로3가 157번지
302,111123,17,20170707,서울특별시 종로구 창신동 446-5번지 2층
303,111123,17,20170216,서울특별시 종로구 돈의동 50번지 1층
304,111123,17,20160217,서울특별시 종로구 종로4가 8번지 2층
305,111123,17,20030121,서울특별시 종로구 종로5가 42-1 메디칼라움빌딩
306,111123,17,20150630,서울특별시 종로구 연지동 254-1번지 지하1층
307,111181,17,20010724,서울특별시 은평구 응암동 590-12 지하1층
308,111274,17,19991106,서울특별시 강동구 길동 458-2
309,111123,17,20141222,서울특별시 종로구 인의동 73번지 지하1층
310,111123,17,20141125,서울특별시 종로구 연지동 255번지 지하1층
311,111123,17,20140716,서울특별시 종로구 돈의동 50번지 지하1층지상1층
312,111123,17,20140701,서울특별시 종로구 창신동 174-1번지 지상2층
313,111123,17,20140619,서울특별시 종로구 효제동 155번지 지하1층
314,111123,17,19750115,서울특별시 종로구 견지동 68-15
315,111123,17,19850828,서울특별시 종로구 견지동 110-13번지
316,111123,17,20140421,서울특별시 종로구 효제동 245-21번지 지상1층
317,111123,17,20130725,서울특별시 종로구 연지동 275-1번지
318,111123,17,20130607,서울특별시 종로구 숭인동 207-30번지 지하1층
319,111123,17,19750813,서울특별시 종로구 인사동 35-0번지
320,111123,17,19750114,서울특별시 종로구 관철동 43-12번지
321,111123,17,19990514,서울특별시 종로구 숭인동 201-25번지 (지하1층)
322,111123,17,19990423,서울특별시 종로구 종로5가 231-16번지
323,111123,17,20150226,서울특별시 종로구 종로5가 4-1 지상2층
324,111123,17,19750423,서울특별시 종로구 종로6가 155-1
325,111123,17,19740510,서울특별시 종로구 관훈동 198-8번지 지하1층
326,111123,17,19850122,서울특별시 종로구 낙원동 93번지
327,111123,17,19840908,서울특별시 종로구 낙원동 179번지 (지하1층)
328,111123,17,19990715,서울특별시 종로구 관수동 154-1번지 1층
329,111123,17,19990712,서울특별시 종로구 관철동 22-0번지
330,111123,17,20090303,서울특별시 종로구 효제동 202번지 지상1층
331,111123,17,20090211,서울특별시 종로구 종로6가 242-1번지 지하1층
332,111123,17,20090109,서울특별시 종로구 도렴동 117-1번지 (지상 3층)
333,111123,17,20081022,서울특별시 종로구 종로5가 104-9번지
334,111123,17,20080905,서울특별시 종로구 종로5가 231-20번지 (지상1~2층)
335,111123,17,20080630,서울특별시 종로구 효제동 233-3번지 236번지 (지하1층)
336,111123,17,20120605,서울특별시 종로구 종로5가 231-1번지 (지상1층)
337,111123,17,20120531,서울특별시 종로구 종로5가 182-19번지 (지상1층)
338,111123,17,20120413,서울특별시 종로구 종로5가 231-1번지 (지상2층)
339,111123,17,20120517,서울특별시 종로구 원남동 189-2 (지하1층)
340,111123,17,20010921,서울특별시 종로구 효제동 227-1 혜원한의원
341,111123,17,20110829,서울특별시 종로구 수송동 58번지 두산위브 (지하1층 B137~B140호)
342,111123,17,19840921,서울특별시 종로구 관수동 143-0
343,111152,17,19841123,서울특별시 동대문구 장안동 366-6
344,111123,17,20110825,서울특별시 종로구 낙원동 121-1번지 지하1층
